word,sentence,Foot_leg,Hand_arm,Head,Mouth_throat,Torso
act,It was a comedic act.,1,2,2,2,2
act,It was a desperate act.,1,2,2,1,2
act,It was a humane act.,0,2,2,1,2
act,It was a magic act.,1,3,2,1,1
appeal,He had a legal appeal.,0,1,1,1,0
appeal,He had a pending appeal.,0,1,1,0,0
appeal,He had a universal appeal.,0,1,1,1,1
appeal,He had an undefinable appeal.,0,1,1,0,1
atmosphere,It was a gaseous atmosphere.,0,1,1,1,2
atmosphere,It was a hostile atmosphere.,0,1,1,0,1
atmosphere,It was a polluted atmosphere.,0,1,2,1,2
atmosphere,It was a tense atmosphere.,0,1,1,0,1
bail,He bailed out the defendant.,0,2,1,1,1
bail,He bailed out the liquid.,0,4,1,0,2
bail,He bailed out the prisoner.,0,2,1,1,1
bail,He bailed out the water.,0,4,1,0,3
band,It was a country band.,2,2,2,3,2
band,It was a gold band.,1,1,1,1,1
band,It was a jazz band.,2,2,2,4,2
band,It was a rubber band.,1,3,1,3,1
bank,He banked the cash.,0,2,1,0,0
bank,He banked the helicopter.,0,1,2,0,2
bank,He banked the money.,0,2,1,1,0
bank,He banked the plane.,1,2,2,0,2
barrier,There was a concrete barrier.,1,1,0,0,1
barrier,There was a language barrier.,1,1,1,0,0
barrier,There was a police barrier.,1,1,0,0,1
barrier,There was a religious barrier.,0,1,1,0,0
bat,He saw a baseball bat.,1,4,1,0,3
bat,He saw a fruit bat.,0,2,1,4,1
bat,He saw a furry bat.,1,2,1,0,2
bat,He saw a wooden bat.,1,3,1,0,3
beam,He saw the balance beam.,4,2,1,0,4
beam,He saw the bright beam.,0,1,1,0,1
beam,He saw the laser beam.,0,1,1,0,0
beam,He saw the wood beam.,0,1,1,0,1
block,She had a mental block.,1,1,4,0,0
block,She had a toy block.,2,4,1,1,1
block,She had a wooden block.,1,1,1,1,1
block,She had a writer's block.,1,2,2,0,1
blood,He has coagulated blood.,1,1,2,1,1
blood,He has noble blood.,1,1,1,1,2
blood,He has royal blood.,1,1,1,1,2
blood,He has thin blood.,1,1,1,1,2
board,It was the executive board.,0,1,1,0,1
board,It was the ironing board.,1,2,1,0,2
board,It was the school board.,0,1,1,0,1
board,It was the wooden board.,1,2,1,0,1
book,He had a best-selling book.,0,2,2,0,0
book,He had a heavy book.,1,3,2,1,1
book,He had a leather-bound book.,0,2,2,1,0
book,He had a popular book.,0,2,2,0,0
break,He broke the dish.,2,3,1,1,1
break,He broke the glass.,2,4,1,1,1
break,He broke the law.,1,2,0,0,1
break,He broke the promise.,0,1,1,0,0
breakfast,They ate a family breakfast.,0,3,2,4,2
breakfast,They ate a lonely breakfast.,0,3,2,4,2
breakfast,They ate a nutritious breakfast.,0,3,2,4,2
breakfast,They ate a pancake breakfast.,0,2,2,4,2
call,They called the debt.,0,2,2,2,0
call,They called the landlord.,0,4,2,2,1
call,They called the loan.,0,2,2,2,0
call,They called the police.,0,4,3,4,0
cape,It was a flowing cape.,1,2,2,0,4
cape,It was a red cape.,1,2,4,0,4
cape,It was a rocky cape.,2,1,1,0,2
cape,It was an island cape.,1,1,1,0,1
case,It was a beer case.,1,2,1,3,2
case,It was a criminal case.,0,1,1,0,0
case,It was a display case.,0,1,1,0,1
case,It was a divorce case.,0,1,1,0,0
cast,She cast a glow.,1,2,1,0,1
cast,She cast a shadow.,1,3,1,0,2
cast,She cast a spear.,1,4,2,1,4
cast,She cast a stone.,1,4,2,0,3
cause,It was a main cause.,0,1,1,0,0
cause,It was a political cause.,0,1,2,1,1
cause,It was a primary cause.,0,1,1,0,0
cause,It was a worthy cause.,0,1,1,0,0
cell,It was a brain cell.,0,0,0,0,0
cell,It was a jail cell.,1,1,1,0,1
cell,It was a prison cell.,1,1,1,0,1
cell,It was a skin cell.,0,1,1,0,0
charm,She had a devilish charm.,0,1,1,1,1
charm,She had a gold charm.,0,1,1,1,0
charm,She had a good-luck charm.,0,1,1,1,0
charm,She had a natural charm.,0,1,1,1,1
check,He checked the alibi.,0,2,2,1,1
check,He checked the engine.,0,4,2,0,1
check,He checked the facts.,0,2,2,1,0
check,He checked the oven.,0,4,2,0,1
chicken,They liked the clucking chicken.,1,2,1,4,1
chicken,They liked the juicy chicken.,1,2,1,4,1
chicken,They liked the pet chicken.,2,2,1,4,1
chicken,They liked the roasted chicken.,1,2,1,4,1
class,It was a boring class.,0,2,3,1,1
class,It was a misbehaving class.,0,2,2,1,0
